month,Record high (°C),Mean maximum (°C),Average high (°C),Average low (°C),Mean minimum (°C),Record low (°C),Average precipitation (mm),Average snowfall (cm),Average precipitation (≥ 0.01 in),Average snowy (≥ 0.1 in),Mean monthly sunshine hours,Percent possible sunshine,Average ultraviolet index
Jan,19,9.9,-2.7,-12.1,-25.4,-34,52,54,14.5,14.5,126.9,44,1
Feb,22,9.6,-0.8,-10.8,-23,-34,45,42,11.2,10.7,146.8,50,2
Mar,29,17.7,4.4,-5.6,-18.1,-31,56,40,12.9,9,190.7,52,3
Apr,33,25.7,12.6,1.6,-6,-17,72,12,12.8,3.1,206.2,51,5
May,35,29.6,19.6,7.4,-0.5,-4,88,0,14.2,0.1,251.4,55,7
Jun,38,32.5,24.6,12.9,4.9,1,94,0,13.3,0,270.1,58,8
Jul,38,33.2,27.2,15.7,9.3,4,106,0,12,0,301.9,64,8
Aug,38,32.3,26.1,14.7,7.3,2,99,0,12.3,0,258.2,59,7
Sep,37,29.6,21.3,10.4,1.9,-4,92,0,11.3,0,201,53,5
Oct,29,23.5,14,3.9,-3.9,-9,91,0.76,12.9,0.4,159.2,47,3
Nov,24,18.9,7.5,-0.6,-10,-19,80,13,14,4.7,91.1,32,2
Dec,20,11.4,0.7,-7.5,-20.2,-34,60,45,14.4,11.9,91.6,33,1
