month,Average high (°C),Daily mean (°C),Average low (°C),Average precipitation (mm),Average rainy (days),Mean monthly sunshine hours
Jan,2.4,0.2,-2.7,60,11,41
Feb,2.5,0.1,-2.8,41,8,68
Mar,5.4,2.3,-0.9,48,10,112
Apr,10.5,5.8,1.2,42,9,164
May,15.8,10.8,5.5,50,9,208
Jun,18.9,14.1,9.2,55,9,212
Jul,21.2,16.2,11.3,67,10,194
Aug,20.8,15.9,11.1,65,10,190
Sep,16.3,12.1,7.8,72,11,130
Oct,11.8,8.7,5,77,11,86
Nov,6.9,4.4,1.5,80,13,59
Dec,4.1,1.8,-0.9,68,12,43
