month,Record high (°C),Mean maximum (°C),Average high (°C),Daily mean (°C),Average low (°C),Mean minimum (°C),Record low (°C),Average precipitation (mm),Average snowfall (cm),Average precipitation (days),Average snowy (days),Average relative humidity (%),Mean monthly sunshine hours,Percent possible sunshine
Jan,17.3,11.8,4.5,1.5,-1.3,-7.8,-19.9,76,10.8,9.5,2.5,81,59,23
Feb,20.6,13.7,6.3,2.5,-1,-6.7,-20,68,8.1,8.1,2,76,88,33
Mar,24.9,19.4,11.2,6.2,1.6,-4.1,-13.3,70,2.8,9,0.9,69,154,45
Apr,27.5,22.8,14.9,9.7,4.8,-0.8,-5.2,72,0.2,8.9,0.1,67,177,46
May,33.8,27.5,19.7,14.2,9.1,3.3,-2.2,84,0,10.6,0,69,197,45
Jun,36.5,30.8,23.5,17.7,12.3,6.6,1.3,92,0,9.3,0,66,235,53
Jul,39.7,33.2,26.5,20.2,14.4,8.9,3,79,0,7.6,0,64,263,58
Aug,37.6,32.5,25.8,19.5,14,8.4,4.9,82,0,7.9,0,67,237,58
Sep,34.8,27.5,20.9,15.4,10.8,5.1,0.2,100,0,8.1,0,73,185,53
Oct,27.3,22.5,15.4,11.1,7.4,1.1,-4.7,105,0,10.1,0,79,117,38
Nov,23.2,16.3,8.8,5.5,2.4,-3.8,-10.9,88,2.8,9.9,0.7,81,66,26
Dec,20.8,12.6,5.3,2.8,0.1,-6.2,-17,90,7.4,10,2,81,49,20
