month,Record high humidex,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Record low wind chill,Average precipitation (mm),Average rainfall (mm),Average snowfall (cm),Average precipitation (days),Average rainy (days),Average snowy (days),Average relative humidity (%),Mean monthly sunshine hours,Percent possible sunshine
Jan,17.3,17.6,-0.9,-7.1,-13.2,-44.4,-52.1,9.4,0.1,15.3,7.3,0.27,7.7,54.5,119.5,45.6
Feb,21.9,22.6,0.7,-5.4,-11.4,-45,-52.6,9.4,0.1,14.5,6.8,0.2,7.4,53.2,144.6,51.3
Mar,25.2,25.4,4.4,-1.6,-7.5,-37.2,-44.7,17.8,2.2,22.7,9.2,1.3,9.5,50.3,177.2,48.2
Apr,27.2,29.4,11.2,4.6,-2,-30,-37.1,25.2,10.8,18.8,9,4.1,6.4,40.7,220.2,53.1
May,31.6,32.4,16.3,9.7,3.1,-16.7,-23.7,56.8,46.1,11.9,11.2,10.1,2.6,43.5,249.4,51.8
Jun,33.3,35,19.8,13.7,7.5,-3.3,-5.8,94,93.9,0.1,13.8,13.8,0.07,48.6,269.9,54.6
Jul,36.9,36.1,23.2,16.5,9.8,-0.6,0,65.5,65.5,0,13,13,0,46.8,314.1,63.1
Aug,36,35.6,22.8,15.8,8.8,-3.2,-4.1,57,57,0,10.6,10.5,0.1,44.6,284,62.9
Sep,32.9,33.3,17.8,11,4.1,-13.3,-12.5,45.1,41.7,3.9,9.1,8.7,1.3,44.3,207,54.4
Oct,28.7,29.4,11.7,5.2,-1.4,-25.7,-34.3,15.3,7.5,10,7.2,4.2,4.1,44.3,175.4,52.7
Nov,22.2,22.8,3.4,-2.4,-8.2,-35,-47.9,13.1,1.5,16.6,7.6,1.4,7.4,54,121.1,45
Dec,19.4,19.5,-0.8,-6.8,-12.8,-42.8,-55.1,10.2,0.3,15,6.9,0.4,7.7,55.3,114,46
