month,Average low (°C),Average temp (°C),Average high (°C),Record low (°C),Record high (°C),Mean monthly sunshine hours,Average precipitation (mm)
Jan,-17.7,-12.8,-7.9,-36.7,10,98.9,86.6
Feb,-15.6,-10.6,-5.6,-36.1,11.7,121.2,74.5
Mar,-9.4,-4.6,0.2,-30,17.8,152,76.1
Apr,-1,3.7,8.3,-18.9,29.9,170.6,83.5
May,5.4,11.2,17,-7.8,33,211.1,115.9
Jun,10.5,16.4,22.3,-0.6,33.9,234.7,111.4
Jul,13.5,19.3,25,3.9,38.6,252.3,121.4
Aug,12.5,18.1,23.6,2.2,34.4,232,104.2
Sep,7.5,12.7,17.9,-4.8,33.9,163,115.5
Oct,2,6.6,11.1,-10,28.3,122,98.3
Nov,-4.2,-0.7,2.9,-24,20,76.6,102.5
Dec,-12.8,-8.6,-4.2,-32.3,13.9,81.9,99.9
