month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average rainfall (mm),Average rainy (days),Average relative humidity (%),Mean monthly sunshine hours,Mean daily sunshine hours
Jan,35,24.7,17.1,9.5,-1.5,15.6,2.1,60,204.6,6.6
Feb,38,26.5,18.4,10.3,0,6.6,1.2,57,226,8
Mar,39,29,20.7,12.3,1,4.7,0.7,50,263.5,8.5
Apr,41,31.2,22.8,14.3,0,6.2,1.1,46,261,8.7
May,39,32.5,24.5,16.4,1,24.9,3.5,48,279,9
Jun,38.5,30.5,23.9,17.3,10,191.2,15.2,63,213,7.1
Jul,37,27.5,22,16.5,9,272.5,21.6,71,195.3,6.3
Aug,36.5,27.3,21.9,16.4,11,226.1,20,72,210.8,6.8
Sep,36,27.1,21.8,16.5,10,169.5,15.5,71,186,6.2
Oct,35,27.1,21,14.9,8,61.4,6.4,68,220.1,7.1
Nov,32,26.4,19.2,12.1,3,13.7,1.8,63,225,7.5
Dec,33,24.7,17.5,10.3,-1,10,1.8,64,189.1,6.1
