month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average precipitation days,Average relative humidity (%),Mean monthly sunshine hours,Percent possible sunshine
Jan,31.8,25.4,21.1,16.5,6.1,18.8,2,65,254.2,75
Feb,37.9,24.8,20.6,16.6,6.9,25,4.7,65,229.6,75
Mar,41.3,29.1,24.8,20.4,9,22.1,4,63,254.2,68
Apr,43.5,35.7,30.1,24.4,13.4,7.2,2.6,55,294,75
May,47,39.4,33.4,27.4,15.1,0.4,0.3,53,344.1,85
Jun,48.5,41.7,35.8,30,18.2,0,0,58,342,81
Jul,52.1,44.3,38.7,33.1,20.4,0,0,56,322.4,74
Aug,51.3,43.6,38.5,33.3,23.1,0,0.5,57,316.2,78
Sep,45.1,41.3,35.2,29,16.5,0,0.1,60,309,86
Oct,42.4,37.9,32.6,27.2,15,1.1,0.2,60,303.8,82
Nov,41,30.7,25.4,20,11.8,2.7,1.3,61,285,86
Dec,35,27.8,23.4,19,8.2,16.2,3.8,64,254.2,75
