month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average rainfall (mm),Average snowfall (cm),Average precipitation (days),Average rainy (days),Average snowy (days),Mean monthly sunshine hours,Percent possible sunshine
Jan,14,-0.1,-4.1,-8.2,-27.2,139.7,96.7,43.1,13.8,8.5,6.8,109.5,38.2
Feb,16,0.4,-3.6,-7.5,-29.4,110.1,75.1,35,11.6,6.5,6.1,127.2,43.3
Mar,28.2,3.6,-0.2,-3.9,-23.3,132.5,101.3,31.2,13.1,10.2,4.1,142.8,38.7
Apr,28.3,8.7,4.9,1,-13.9,118.3,111.3,7,15.2,14.1,1.6,156.6,38.8
May,33.3,14.4,10.1,5.8,-5,119.1,118.4,0.8,15.8,15.7,0.2,193.3,42.1
Jun,34.4,19.6,15.2,10.7,0,111.8,111.8,0,13.6,13.6,0,220.7,47.5
Jul,37.2,23.1,18.8,14.4,4.4,110.3,110.3,0,12.1,12.1,0,235.2,49.9
Aug,34.4,23.1,19.1,15.1,3.9,96.4,96.4,0,11.1,11.1,0,226.6,52.1
Sep,34.6,19.3,15.5,11.8,-1.7,108.9,108.9,0,11.7,11.7,0,180.5,47.9
Oct,31.1,13.4,9.9,6.4,-7.2,124.3,124.1,0.1,14.1,14.1,0.1,157.8,46.2
Nov,23.3,8.1,4.8,1.5,-15.6,151.4,143.6,7.8,15.3,14.5,1.2,107.4,37.2
Dec,16.7,2.8,-0.8,-4.3,-25.6,145.1,115.9,29.2,14.5,10.8,5.2,105.2,38.2
