month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm)
Jan,30,18,12.2,6.5,-2,16.8
Feb,33,21,14.6,8.2,-2,13.5
Mar,38,25.1,18.1,11,3,13.2
Apr,42,29.7,22.4,15.1,7,3.6
May,47,35.3,27.9,20.5,9,1.5
Jun,53,40.5,32.7,25,11,1
Jul,52,42.9,36.1,29.2,20,9.9
Aug,51,42.2,35.5,28.8,20,15.5
Sep,48,38.4,31.3,24.1,13,10.2
Oct,44,31.3,24.1,16.9,7,8.9
Nov,35,23.4,17,10.6,2,8.4
Dec,28,17.2,11.7,6.1,-4,10.7
