month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average precipitation days,Average snowy days,Average relative humidity (%),Mean monthly sunshine hours
Jan,21.2,9.5,5.9,2.4,-17,51.3,9.2,2.1,87,92.5
Feb,22.1,11.1,7,3,-19.2,41.6,7.8,2,82,115
Mar,27.1,14.5,9.7,5,-8.4,49.1,8.6,1,77,175.1
Apr,30,17,11.9,7.1,-3,69.6,9.6,0.2,76,186.1
May,33.4,21,15.9,10.9,-0.8,74,9.9,0,76,209.2
Jun,39.8,25.2,19.6,14.3,4,60.3,7.1,0,72,227.6
Jul,40.2,28,22,16.5,7.6,37.7,5,0,68,252.6
Aug,40.7,27.9,21.9,16.5,5.5,46.8,6.1,0,71,238.8
Sep,35.3,24.6,18.9,13.4,1.9,47.4,6.5,0,74,204
Oct,30.8,19.5,14.9,10.5,-3,57,8.1,0,81,149.2
Nov,24.3,13.3,9.5,5.8,-7.5,51.1,9.2,0.6,85,96
Dec,21.1,9.9,6.5,3.2,-12,52.4,8.6,1.6,88,85.3
