month,Average high (°C),Average low (°C),Average rainfall (mm),Average rainy days,Average relative humidity (%),Mean daily sunshine hours
Jan,28,22,95.5,17,78,8
Feb,29,22,62.7,13,75.5,8
Mar,29,23,49.5,12,73.9,9
Apr,30,23,118.9,13,75,9
May,31,24,149.9,17,77.2,8
Jun,32,26,112,15,77,9
Jul,32,26,128.8,19,78,9
Aug,32,26,138.7,18,77.6,9
Sep,32,26,146.6,17,77.7,9
Oct,32,25,142,17,78.2,9
Nov,30,24,161.3,18,78.6,8
Dec,29,23,127.5,19,78.3,8
